"experiment_ID","run_ID","run_accession","library_strategy","library_name","experiment_accession","spots","title","strain"
377905,449917,"SRR099223","OTHER","D2_1_4_lib","SRX033472",16661510,"D2_1_4 experimental details","D2"
377906,449918,"SRR099224","OTHER","D2_2_4_lib","SRX033473",20020570,"D2_2_4 experimental details","D2"
377907,449919,"SRR099225","OTHER","D2_3_4_lib","SRX033474",15630897,"D2_3_4 experimental details","D2"
377908,449920,"SRR099226","OTHER","D2_5_4_lib","SRX033475",15756299,"D2_5_4 experimental details","D2"
377909,449921,"SRR099227","OTHER","B6_6_4_lib","SRX033476",21844582,"B6_6_4 experimental details","B6"
377910,449922,"SRR099228","OTHER","B6_7_4_lib","SRX033478",21448228,"B6_7_4 experimental details","B6"
377911,449923,"SRR099229","OTHER","B6_8_4_lib","SRX033479",17452559,"B6_8_4 experimental details","B6"
377912,449924,"SRR099230","OTHER","B6_1_6_lib","SRX033480",15369958,"B6_1_6 experimental details","B6"
377913,449925,"SRR099231","OTHER","B6_2_6_lib","SRX033481",13974202,"B6_2_6 experimental details","B6"
377914,449926,"SRR099232","OTHER","B6_3_6_lib","SRX033482",14831350,"B6_3_6 experimental details","B6"
377915,449927,"SRR099233","OTHER","B6_5_6_lib","SRX033483",17477948,"B6_5_6 experimental details","B6"
377916,449928,"SRR099234","OTHER","D2_6_6_lib","SRX033484",21384901,"D2_6_6 experimental details","D2"
377917,449929,"SRR099235","OTHER","D2_7_6_lib","SRX033485",16440729,"D2_7_6 experimental details","D2"
377918,449930,"SRR099236","OTHER","D2_8_6_lib","SRX033486",18666299,"D2_8_6 experimental details","D2"
377919,449931,"SRR099237","OTHER","B6_1_7_lib","SRX033488",27742742,"B6_1_7 experimental details","B6"
377920,449932,"SRR099238","OTHER","B6_2_7_lib","SRX033489",28904421,"B6_2_7 experimental details","B6"
377921,449933,"SRR099239","OTHER","B6_3_7_lib","SRX033490",31437071,"B6_3_7 experimental details","B6"
377922,449934,"SRR099240","OTHER","D2_5_7_lib","SRX033491",31936532,"D2_5_7 experimental details","D2"
377923,449935,"SRR099241","OTHER","D2_6_7_lib","SRX033492",31202901,"D2_6_7 experimental details","D2"
377924,449936,"SRR099242","OTHER","D2_7_7_lib","SRX033493",31953011,"D2_7_7 experimental details","D2"
377925,449937,"SRR099243","OTHER","D2_8_7_lib","SRX033494",30117036,"D2_8_7 experimental details","D2"
