Ensembl	Gene_Name	ProbeID	Average_RMA	p.value	Fold_Change	q.value	DE	Probes_per_gene	Multiple_probes 	Biotype	Chr	Gene_start	Gene_Description
ENSMUSG00000038916	6330407J23Rik	1429628_at	8.66	7.6681E-21	5.32	5.7749E-17	1	1	2	protein_coding	10	28863802	RIKEN cDNA 6330407J23 gene Gene [Source:MGI Symbol;Acc:MGI:1914662]
ENSMUSG00000003992	Ssbp2	1429951_at	6.08	1.3309E-20	26.84	5.7749E-17	1	3	5	protein_coding	13	91599888	single-stranded DNA binding protein 2 Gene [Source:MGI (curated);Acc:MGI:1914220]
ENSMUSG00000071337	Tia1	1431708_a_at	6.88	2.0091E-20	19.11	5.8116E-17	1	6	5	protein_coding	6	86354213	cytotoxic granule-associated RNA binding protein 1 Gene [Source:MGI (curated);Acc:MGI:107914]
ENSMUSG00000005161	Prdx2	1430979_a_at	8.17	6.2856E-20	4.35	1.3636E-16	1	1	2	protein_coding	8	87493486	peroxiredoxin 2 Gene [Source:MGI (curated);Acc:MGI:109486]
ENSMUSG00000020415	Pttg1	1424105_a_at	8.36	1.5874E-19	7.58	2.7551E-16	1	1	2	protein_coding	11	43233752	pituitary tumor-transforming gene 1 Gene [Source:MGI (curated);Acc:MGI:1353578]
ENSMUSG00000089214	mmu-mir-1931	1446130_at	5.88	2.5451E-19	13.88	3.1551E-16	1	1	2	miRNA	10	92625530	mmu-mir-1931 [Source:miRBase;Acc:MI0009920]
ENSMUSG00000034875	Nudt19	1434216_a_at	9.32	2.3293E-19	3.43	3.1551E-16	1	2	1	protein_coding	7	36332204	nudix (nucleoside diphosphate linked moiety X)-type motif 19 Gene [Source:MGI (curated);Acc:MGI:94203]
ENSMUSG00000022680	Pdxdc1	1452705_at	7.15	5.5836E-19	7.07	6.0567E-16	1	3	1	protein_coding	16	13833241	pyridoxal-dependent decarboxylase domain containing 1 Gene [Source:MGI (curated);Acc:MGI:1920909]
ENSMUSG00000046447	Camk2n1	1440455_at	9.11	6.1833E-18	6.75	5.9621E-15	1	2	3	protein_coding	4	138010229	calcium/calmodulin-dependent protein kinase II inhibitor 1 Gene [Source:MGI (curated);Acc:MGI:1913509]
ENSMUSG00000057132	Rpgrip1	1421144_at	8.23	1.2117E-17	6.88	1.0515E-14	1	1	2	protein_coding	14	52730597	retinitis pigmentosa GTPase regulator interacting protein 1 Gene [Source:MGI Symbol;Acc:MGI:1932134]
ENSMUSG00000072694	2610524H06Rik	1428370_at	9.81	2.0214E-17	4.51	1.5947E-14	1	3	5	protein_coding	5	115258205	RIKEN cDNA 1500011B03 gene Gene [Source:MGI Symbol;Acc:MGI:1913486]
ENSMUSG00000032018	Sc5d	1451457_at	8.24	2.9091E-17	3.82	2.1037E-14	1	2	1	protein_coding	9	42062222	"sterol-C5-desaturase (fungal ERG3, delta-5-desaturase) homolog (S. cerevisae) Gene [Source:MGI Symbol;Acc:MGI:1353611]"
ENSMUSG00000015852	Fcrls	1448891_at	7.58	6.2212E-17	3.26	4.1529E-14	1	1	2	protein_coding	3	87054680	"Fc receptor-like S, scavenger receptor Gene [Source:MGI (curated);Acc:MGI:1933397]"
ENSMUSG00000026277	Stk25	1416770_at	9.10	7.4265E-17	4.01	4.6033E-14	1	1	2	protein_coding	1	95518479	serine/threonine kinase 25 (yeast) Gene [Source:MGI (curated);Acc:MGI:1891699]
ENSMUSG00000052962	Mrpl35	1440989_at	7.29	1.0174E-16	3.37	5.8857E-14	1	3	4	protein_coding	6	71762997	mitochondrial ribosomal protein L35 Gene [Source:MGI (curated);Acc:MGI:1913473]
ENSMUSG00000034875	Nudt19	1432332_a_at	9.13	1.8258E-16	2.34	9.9026E-14	1	2	1	protein_coding	7	36332204	nudix (nucleoside diphosphate linked moiety X)-type motif 19 Gene [Source:MGI (curated);Acc:MGI:94203]
ENSMUSG00000044783	Hjurp	1433685_a_at	8.03	3.3648E-16	2.69	1.7176E-13	1	3	1	protein_coding	1	90159046	Holliday junction recognition protein Gene [Source:MGI (curated);Acc:MGI:2685821]
ENSMUSG00000062822	4833420G17Rik	1419635_at	6.69	7.0948E-16	3.49	3.4205E-13	1	2	1	protein_coding	13	120251579	RIKEN cDNA 4833420G17 gene Gene [Source:MGI Symbol;Acc:MGI:1914642]
ENSMUSG00000039410	Prdm16	1429308_at	5.57	1.6424E-15	3.52	7.5016E-13	1	2	4	protein_coding	4	153690234	PR domain containing 16 Gene [Source:MGI (curated);Acc:MGI:1917923]
ENSMUSG00000068299	1700019G17Rik	1436669_at	5.11	2.9010E-15	5.65	1.1988E-12	1	1	2	protein_coding	6	85849045	RIKEN cDNA 1700019G17 gene Gene [Source:MGI Symbol;Acc:MGI:1922791]
ENSMUSG00000046056	Sbsn	1459897_a_at	7.49	2.8452E-15	4.02	1.1988E-12	1	1	2	protein_coding	7	31536581	suprabasin Gene [Source:MGI Symbol;Acc:MGI:2446326]
ENSMUSG00000021510	A530054K11Rik	1442654_at	6.99	4.1627E-15	0.35	1.6420E-12	1	2	1	protein_coding	13	67717938	RIKEN cDNA A530054K11 gene Gene [Source:MGI Symbol;Acc:MGI:3036250]
ENSMUSG00000028619	2210012G02Rik	1431067_at	5.09	5.3427E-15	2.76	2.0158E-12	1	1	2	protein_coding	4	106806760	RIKEN cDNA 2210012G02 gene Gene [Source:MGI Symbol;Acc:MGI:1913776]
ENSMUSG00000055670	Zzef1	1438691_at	8.12	1.0517E-14	2.42	3.8029E-12	1	3	5	protein_coding	11	72609728	"zinc finger, ZZ-type with EF hand domain 1 Gene [Source:MGI (curated);Acc:MGI:2444286]"
ENSMUSG00000039385	Cdh6	1437558_at	7.06	1.1637E-14	4.61	4.0393E-12	1	2	1	protein_coding	15	12963955	cadherin 6 Gene [Source:MGI Symbol;Acc:MGI:107435]
ENSMUSG00000038215	BC088983	1440773_at	6.09	2.7054E-14	3.34	8.0957E-12	1	2	4	protein_coding	8	59010319	Uncharacterized protein KIAA1712  [Source:UniProtKB/Swiss-Prot;Acc:Q5HZK1]
ENSMUSG00000026344	Lypd1	1442887_at	7.43	2.6264E-14	2.61	8.0957E-12	1	2	4	protein_coding	1	127764199	Ly6/Plaur domain containing 1 Gene [Source:MGI (curated);Acc:MGI:1919835]
ENSMUSG00000021745	Ptprg	1429691_at	7.00	2.6974E-14	7.39	8.0957E-12	1	3	4	protein_coding	14	12386046	"protein tyrosine phosphatase, receptor type, G Gene [Source:MGI (curated);Acc:MGI:97814]"
ENSMUSG00000069206	Zfp874	1434171_at	5.51	2.6787E-14	7.07	8.0957E-12	1	1	2	protein_coding	13	67525485	zinc finger protein 874 Gene [Source:MGI Symbol;Acc:MGI:3040703]
ENSMUSG00000070355	AC105336.1	1419115_at	6.79	2.9578E-14	3.86	8.2799E-12	1	2	3	protein_coding	3	121065676	Putative uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:Q8C8J2]
ENSMUSG00000029701	Rbm28	1452091_a_at	8.85	2.8758E-14	2.22	8.2799E-12	1	1	2	protein_coding	6	29075158	RNA binding motif protein 28 Gene [Source:MGI Symbol;Acc:MGI:2655711]
ENSMUSG00000021510	A530054K11Rik	1440125_at	6.07	3.1932E-14	0.25	8.6596E-12	1	2	1	protein_coding	13	67717938	RIKEN cDNA A530054K11 gene Gene [Source:MGI Symbol;Acc:MGI:3036250]
ENSMUSG00000032570	Atp2c1	1442742_at	5.37	4.4961E-14	4.57	1.1823E-11	1	4	4	protein_coding	9	105313693	"ATPase, Ca++-sequestering Gene [Source:MGI Symbol;Acc:MGI:1889008]"
ENSMUSG00000022899	Slc15a2	1417600_at	8.86	5.4661E-14	0.41	1.3951E-11	1	2	3	protein_coding	16	36750267	"solute carrier family 15 (H+/peptide transporter), member 2 Gene [Source:MGI Symbol;Acc:MGI:1890457]"
ENSMUSG00000008683	Rps15a	1457726_at	7.69	7.0504E-14	2.13	1.7481E-11	1	1	2	protein_coding	7	125249342	ribosomal protein S15A Gene [Source:MGI (curated);Acc:MGI:2389091]
ENSMUSG00000042595	Fam199x	1439059_at	4.97	7.6419E-14	5.44	1.8421E-11	1	2	1	protein_coding	X	133584133	"family with sequence similarity 199, X-linked Gene [Source:MGI Symbol;Acc:MGI:2384304]"
ENSMUSG00000036896	C1qc	1449401_at	8.35	8.3846E-14	2.18	1.8657E-11	1	1	2	protein_coding	4	136445719	"complement component 1, q subcomponent, C chain Gene [Source:MGI (curated);Acc:MGI:88225]"
ENSMUSG00000068921	Dap3	1450848_at	9.64	8.2089E-14	1.83	1.8657E-11	1	1	2	protein_coding	3	88724725	death associated protein 3 Gene [Source:MGI (curated);Acc:MGI:1929538]
ENSMUSG00000028668	Tceb3	1422591_at	6.24	8.2043E-14	2.28	1.8657E-11	1	2	4	protein_coding	4	135559283	"transcription elongation factor B (SIII), polypeptide 3 Gene [Source:MGI (curated);Acc:MGI:1351315]"
ENSMUSG00000028788	Ptp4a2	1444188_at	5.46	8.9863E-14	3.14	1.9496E-11	1	1	2	protein_coding	4	129488463	protein tyrosine phosphatase 4a2 Gene [Source:MGI (curated);Acc:MGI:1277117]
ENSMUSG00000062822	4833420G17Rik	1419636_at	8.02	1.1166E-13	2.39	2.3634E-11	1	2	1	protein_coding	13	120251579	RIKEN cDNA 4833420G17 gene Gene [Source:MGI Symbol;Acc:MGI:1914642]
ENSMUSG00000024948	Map4k2	1434833_at	6.16	1.3159E-13	3.93	2.7188E-11	1	3	4	protein_coding	19	6341135	mitogen-activated protein kinase kinase kinase kinase 2 Gene [Source:MGI (curated);Acc:MGI:1346883]
ENSMUSG00000052560	Cpne8	1430520_at	5.68	1.4189E-13	4.75	2.8636E-11	1	1	2	protein_coding	15	90317913	copine VIII Gene [Source:MGI (curated);Acc:MGI:1914121]
ENSMUSG00000018736	Ndel1	1424893_at	5.61	1.6910E-13	3.56	3.2791E-11	1	2	4	protein_coding	11	68634936	nuclear distribution gene E-like homolog 1 (A. nidulans) Gene [Source:MGI (curated);Acc:MGI:1932915]
ENSMUSG00000022680	Pdxdc1	1436372_a_at	7.60	1.7004E-13	1.87	3.2791E-11	1	3	1	protein_coding	16	13833241	pyridoxal-dependent decarboxylase domain containing 1 Gene [Source:MGI (curated);Acc:MGI:1920909]
ENSMUSG00000020646	Mboat2	1425029_a_at	8.50	1.7627E-13	1.97	3.3254E-11	1	1	2	protein_coding	12	25514254	membrane bound O-acyltransferase domain containing 2 Gene [Source:MGI Symbol;Acc:MGI:1914466]
ENSMUSG00000074629	4930518I15Rik	1429423_at	6.19	1.9741E-13	2.09	3.6449E-11	1	1	2	protein_coding	2	156682777	RIKEN cDNA 4930518I15 gene Gene [Source:MGI Symbol;Acc:MGI:1921954]
ENSMUSG00000035726	Supt16h	1419741_at	9.35	2.1642E-13	0.30	3.9127E-11	1	2	1	protein_coding	14	52780092	suppressor of Ty 16 homolog (S. cerevisiae) Gene [Source:MGI Symbol;Acc:MGI:1890948]
