Ensembl	Gene_Name	PROBE_ID	nuID	Average_lumi	p.value	Fold_Change	q.value	DE	Probes_per_gene	Multiple_probes	Biotype	Chr	Gene_start	Gene_Description
ENSMUSG00000031711	Zfp330	ILMN_2825109	6fTnqw70d5PJr5TvRY	8.89	2.1656E-25	11.63	1.3656E-21	1	1	2	protein_coding	8	85287520	zinc finger protein 330 Gene [Source:MGI Symbol;Acc:MGI:1353574]
ENSMUSG00000030942	Thumpd1	ILMN_2722488	ftXHpz_UvsS57ud_o0	8.93	1.6597E-23	9.34	5.2231E-20	1	1	2	protein_coding	7	126858610	THUMP domain containing 1 Gene [Source:MGI Symbol;Acc:MGI:2444479]
ENSMUSG00000069072	Slc7a14	ILMN_2719361	HPzfKA3feur9Lu7glg	8.93	4.3394E-23	0.09	9.1038E-20	1	3	1	protein_coding	3	31101832	"solute carrier family 7 (cationic amino acid transporter, y+ system), member 14 Gene [Source:MGI (curated);Acc:MGI:3040688]"
ENSMUSG00000021071	Trim9	ILMN_2800380	QUVGohIZfdxXtz81.k	9.09	3.6428E-19	2.82	5.7266E-16	1	3	4	protein_coding	12	71345526	tripartite motif-containing 9 Gene [Source:MGI Symbol;Acc:MGI:2137354]
ENSMUSG00000069072	Slc7a14	ILMN_2968123	0z83ygN33rq.S7u4JY	9.26	5.6791E-19	0.10	7.1488E-16	1	3	1	protein_coding	3	31101832	"solute carrier family 7 (cationic amino acid transporter, y+ system), member 14 Gene [Source:MGI (curated);Acc:MGI:3040688]"
ENSMUSG00000021071	Trim9	ILMN_1246118	Qjp1xSlUoOVKAJA3yk	9.09	8.8489E-18	2.98	9.2821E-15	1	3	4	protein_coding	12	71345526	tripartite motif-containing 9 Gene [Source:MGI Symbol;Acc:MGI:2137354]
ENSMUSG00000020526	Znhit3	ILMN_2914957	KRTGSTkRurfXcUTp2c	8.94	8.4607E-17	3.62	7.6055E-14	1	1	2	protein_coding	11	84724452	"zinc finger, HIT type 3 Gene [Source:MGI (curated);Acc:MGI:3051596]"
ENSMUSG00000033808	Tmem87a	ILMN_2969172	0lCKR3uxue489leQio	9.26	1.0601E-16	0.28	8.3381E-14	1	1	2	protein_coding	2	120181048	transmembrane protein 87A Gene [Source:MGI (curated);Acc:MGI:2441844]
ENSMUSG00000031467	Agpat5	ILMN_1250939	on5J8qnkvvdfTCHlNY	9.56	1.6952E-16	2.66	1.1887E-13	1	1	2	protein_coding	8	18846277	"1-acylglycerol-3-phosphate O-acyltransferase 5 (lysophosphatidic acid acyltransferase, epsilon) Gene [Source:MGI (curated);Acc:MGI:1196345]"
ENSMUSG00000034875	Nudt19	ILMN_2746906	6e5SSrX_.dTeKI5iSE	8.89	7.5412E-16	2.72	4.7449E-13	1	2	1	protein_coding	7	36332204	nudix (nucleoside diphosphate linked moiety X)-type motif 19 Gene [Source:MGI (curated);Acc:MGI:94203]
ENSMUSG00000061816	Myl1	ILMN_2878542	9jDdC1ERRbzTcfq1EE	8.89	1.8498E-15	0.27	1.0331E-12	1	1	2	protein_coding	1	66970869	"myosin, light polypeptide 1 Gene [Source:MGI (curated);Acc:MGI:97269]"
ENSMUSG00000048758	Rpl29	ILMN_2730005	oq8W4u_l8aTWOE1uHE	10.78	1.9733E-15	3.53	1.0331E-12	1	1	2	protein_coding	9	106331785	ribosomal protein L29 Gene [Source:MGI (curated);Acc:MGI:99687]
ENSMUSG00000021091	Serpina3n	ILMN_1246800	WVekdcfIECyX9.y9Uk	8.99	5.2722E-15	0.37	2.5511E-12	1	1	2	protein_coding	12	105644939	"serine (or cysteine) peptidase inhibitor, clade A, member 3N Gene [Source:MGI (curated);Acc:MGI:105045]"
